region,population,sex,age,education,income,statusquo,vote,logincome,logpop,sex_M,region_M,region_N,region_S,region_SA,education_PS,education_S
N,175000,M,44.0,PS,35000.0,1.16851,N,10.46310334047155,12.072541252905651,True,False,True,False,False,True,False
N,175000,M,20.0,PS,15000.0,-1.29617,N,9.615805480084347,12.072541252905651,True,False,True,False,False,True,False
N,175000,F,36.0,P,35000.0,-0.35147,Y,10.46310334047155,12.072541252905651,False,False,True,False,False,False,False
N,175000,M,37.0,P,7500.0,1.43203,Y,8.922658299524402,12.072541252905651,True,False,True,False,False,False,False
N,175000,M,30.0,S,35000.0,0.2636,A,10.46310334047155,12.072541252905651,True,False,True,False,False,False,True
N,175000,M,30.0,P,15000.0,0.11067,Y,9.615805480084347,12.072541252905651,True,False,True,False,False,False,False
N,175000,F,19.0,P,15000.0,0.72102,A,9.615805480084347,12.072541252905651,False,False,True,False,False,False,False
N,125000,F,33.0,S,35000.0,1.00232,A,10.46310334047155,11.736069016284437,False,False,True,False,False,False,True
N,125000,M,30.0,S,15000.0,-1.1517,N,9.615805480084347,11.736069016284437,True,False,True,False,False,False,True
N,125000,F,37.0,PS,35000.0,1.40361,Y,10.46310334047155,11.736069016284437,False,False,True,False,False,True,False
N,125000,M,51.0,P,15000.0,0.52166,Y,9.615805480084347,11.736069016284437,True,False,True,False,False,False,False
N,125000,F,61.0,P,35000.0,0.79952,Y,10.46310334047155,11.736069016284437,False,False,True,False,False,False,False
N,125000,F,21.0,S,7500.0,0.53177,U,8.922658299524402,11.736069016284437,False,False,True,False,False,False,True
N,125000,F,70.0,P,15000.0,1.48894,Y,9.615805480084347,11.736069016284437,False,False,True,False,False,False,False
N,125000,M,35.0,S,35000.0,0.49674,Y,10.46310334047155,11.736069016284437,True,False,True,False,False,False,True
N,125000,M,68.0,P,35000.0,1.32695,Y,10.46310334047155,11.736069016284437,True,False,True,False,False,False,False
N,125000,F,25.0,P,35000.0,1.54808,Y,10.46310334047155,11.736069016284437,False,False,True,False,False,False,False
N,125000,F,50.0,P,7500.0,1.33168,Y,8.922658299524402,11.736069016284437,False,False,True,False,False,False,False
N,125000,F,24.0,S,35000.0,1.03408,Y,10.46310334047155,11.736069016284437,False,False,True,False,False,False,True
N,125000,M,66.0,P,35000.0,0.87984,U,10.46310334047155,11.736069016284437,True,False,True,False,False,False,False
N,125000,M,25.0,S,75000.0,-0.42448,A,11.225243392518447,11.736069016284437,True,False,True,False,False,False,True
N,125000,M,40.0,S,15000.0,-1.04016,N,9.615805480084347,11.736069016284437,True,False,True,False,False,False,True
N,125000,M,34.0,PS,125000.0,-1.10088,N,11.736069016284437,11.736069016284437,True,False,True,False,False,True,False
N,125000,M,18.0,S,35000.0,-0.37211,U,10.46310334047155,11.736069016284437,True,False,True,False,False,False,True
N,125000,F,52.0,S,35000.0,1.24649,Y,10.46310334047155,11.736069016284437,False,False,True,False,False,False,True
N,125000,F,35.0,S,35000.0,1.59577,Y,10.46310334047155,11.736069016284437,False,False,True,False,False,False,True
N,125000,M,51.0,S,75000.0,1.34999,Y,11.225243392518447,11.736069016284437,True,False,True,False,False,False,True
N,125000,M,33.0,PS,75000.0,1.33168,Y,11.225243392518447,11.736069016284437,True,False,True,False,False,True,False
N,125000,F,36.0,S,15000.0,0.80845,Y,9.615805480084347,11.736069016284437,False,False,True,False,False,False,True
N,125000,F,24.0,S,35000.0,-0.48981,U,10.46310334047155,11.736069016284437,False,False,True,False,False,False,True
N,125000,F,43.0,P,15000.0,1.04409,Y,9.615805480084347,11.736069016284437,False,False,True,False,False,False,False
N,125000,M,50.0,P,15000.0,-0.83203,U,9.615805480084347,11.736069016284437,True,False,True,False,False,False,False
N,125000,F,28.0,P,35000.0,1.5877,Y,10.46310334047155,11.736069016284437,False,False,True,False,False,False,False
N,125000,F,54.0,P,15000.0,0.90506,U,9.615805480084347,11.736069016284437,False,False,True,False,False,False,False
N,125000,M,19.0,S,7500.0,0.52845,N,8.922658299524402,11.736069016284437,True,False,True,False,False,False,True
N,125000,F,26.0,S,35000.0,1.45329,Y,10.46310334047155,11.736069016284437,False,False,True,False,False,False,True
N,125000,M,67.0,PS,75000.0,0.23095,A,11.225243392518447,11.736069016284437,True,False,True,False,False,True,False
N,125000,M,40.0,PS,35000.0,-0.52639,N,10.46310334047155,11.736069016284437,True,False,True,False,False,True,False
N,125000,M,19.0,PS,35000.0,-1.10706,N,10.46310334047155,11.736069016284437,True,False,True,False,False,True,False
N,125000,F,38.0,S,75000.0,1.06142,Y,11.225243392518447,11.736069016284437,False,False,True,False,False,False,True
N,125000,F,22.0,PS,35000.0,-1.30351,N,10.46310334047155,11.736069016284437,False,False,True,False,False,True,False
N,125000,M,38.0,PS,75000.0,0.27293,U,11.225243392518447,11.736069016284437,True,False,True,False,False,True,False
N,125000,F,36.0,S,75000.0,0.18447,A,11.225243392518447,11.736069016284437,False,False,True,False,False,False,True
N,125000,M,38.0,PS,35000.0,-1.29617,N,10.46310334047155,11.736069016284437,True,False,True,False,False,True,False
N,125000,M,19.0,S,35000.0,-0.02965,N,10.46310334047155,11.736069016284437,True,False,True,False,False,False,True
N,125000,M,32.0,PS,75000.0,1.48284,Y,11.225243392518447,11.736069016284437,True,False,True,False,False,True,False
N,125000,M,38.0,S,15000.0,-0.59145,U,9.615805480084347,11.736069016284437,True,False,True,False,False,False,True
N,125000,M,54.0,P,35000.0,-1.1921,N,10.46310334047155,11.736069016284437,True,False,True,False,False,False,False
N,125000,M,48.0,P,35000.0,1.02326,Y,10.46310334047155,11.736069016284437,True,False,True,False,False,False,False
N,125000,F,30.0,S,75000.0,-0.99223,N,11.225243392518447,11.736069016284437,False,False,True,False,False,False,True
N,125000,M,23.0,PS,35000.0,-1.10784,Y,10.46310334047155,11.736069016284437,True,False,True,False,False,True,False
N,125000,F,46.0,S,125000.0,1.5877,Y,11.736069016284437,11.736069016284437,False,False,True,False,False,False,True
N,125000,F,19.0,S,7500.0,-0.14772,U,8.922658299524402,11.736069016284437,False,False,True,False,False,False,True
N,125000,F,54.0,P,7500.0,0.22433,U,8.922658299524402,11.736069016284437,False,False,True,False,False,False,False
N,125000,M,23.0,S,15000.0,-1.12468,N,9.615805480084347,11.736069016284437,True,False,True,False,False,False,True
N,125000,M,68.0,P,7500.0,0.11359,U,8.922658299524402,11.736069016284437,True,False,True,False,False,False,False
N,125000,F,44.0,S,35000.0,-1.14579,N,10.46310334047155,11.736069016284437,False,False,True,False,False,False,True
N,125000,M,65.0,P,35000.0,1.02326,Y,10.46310334047155,11.736069016284437,True,False,True,False,False,False,False
N,125000,F,24.0,P,7500.0,-1.18567,N,8.922658299524402,11.736069016284437,False,False,True,False,False,False,False
N,125000,F,19.0,S,35000.0,1.05618,Y,10.46310334047155,11.736069016284437,False,False,True,False,False,False,True
N,125000,M,21.0,PS,15000.0,-0.7115,A,9.615805480084347,11.736069016284437,True,False,True,False,False,True,False
N,125000,F,53.0,P,75000.0,1.59943,Y,11.225243392518447,11.736069016284437,False,False,True,False,False,False,False
N,125000,F,38.0,P,15000.0,0.28099,U,9.615805480084347,11.736069016284437,False,False,True,False,False,False,False
N,125000,M,28.0,S,35000.0,-0.52335,A,10.46310334047155,11.736069016284437,True,False,True,False,False,False,True
N,125000,M,57.0,S,35000.0,-0.66752,N,10.46310334047155,11.736069016284437,True,False,True,False,False,False,True
N,250000,F,50.0,P,15000.0,-0.97742,Y,9.615805480084347,12.429216196844383,False,False,True,False,False,False,False
N,250000,M,45.0,P,2500.0,0.71898,N,7.824046010856292,12.429216196844383,True,False,True,False,False,False,False
N,250000,M,19.0,PS,15000.0,0.67533,U,9.615805480084347,12.429216196844383,True,False,True,False,False,True,False
N,250000,M,58.0,P,15000.0,1.27496,U,9.615805480084347,12.429216196844383,True,False,True,False,False,False,False
N,250000,F,18.0,S,125000.0,0.15214,N,11.736069016284437,12.429216196844383,False,False,True,False,False,False,True
N,250000,F,67.0,S,7500.0,-1.29617,N,8.922658299524402,12.429216196844383,False,False,True,False,False,False,True
N,250000,M,30.0,S,7500.0,-0.71641,N,8.922658299524402,12.429216196844383,True,False,True,False,False,False,True
N,250000,F,23.0,P,7500.0,-1.30366,N,8.922658299524402,12.429216196844383,False,False,True,False,False,False,False
N,250000,F,34.0,P,7500.0,-0.122,Y,8.922658299524402,12.429216196844383,False,False,True,False,False,False,False
N,250000,M,46.0,P,75000.0,-1.17441,N,11.225243392518447,12.429216196844383,True,False,True,False,False,False,False
N,250000,M,66.0,P,15000.0,-0.70463,U,9.615805480084347,12.429216196844383,True,False,True,False,False,False,False
N,250000,F,31.0,S,7500.0,0.00744,U,8.922658299524402,12.429216196844383,False,False,True,False,False,False,True
N,250000,M,18.0,S,15000.0,-0.71653,N,9.615805480084347,12.429216196844383,True,False,True,False,False,False,True
N,250000,M,69.0,P,7500.0,1.54808,Y,8.922658299524402,12.429216196844383,True,False,True,False,False,False,False
N,250000,M,21.0,S,35000.0,-0.78334,N,10.46310334047155,12.429216196844383,True,False,True,False,False,False,True
N,250000,M,41.0,PS,35000.0,0.25602,U,10.46310334047155,12.429216196844383,True,False,True,False,False,True,False
N,250000,F,28.0,PS,75000.0,1.23773,A,11.225243392518447,12.429216196844383,False,False,True,False,False,True,False
N,250000,F,34.0,P,35000.0,1.43203,Y,10.46310334047155,12.429216196844383,False,False,True,False,False,False,False
N,250000,F,35.0,S,35000.0,-1.29617,N,10.46310334047155,12.429216196844383,False,False,True,False,False,False,True
N,250000,F,50.0,S,125000.0,1.5877,Y,11.736069016284437,12.429216196844383,False,False,True,False,False,False,True
N,250000,M,66.0,S,75000.0,1.25462,Y,11.225243392518447,12.429216196844383,True,False,True,False,False,False,True
N,250000,M,22.0,PS,125000.0,-0.42219,N,11.736069016284437,12.429216196844383,True,False,True,False,False,True,False
N,250000,F,54.0,S,75000.0,-0.12077,N,11.225243392518447,12.429216196844383,False,False,True,False,False,False,True
N,250000,F,22.0,PS,35000.0,-0.27527,N,10.46310334047155,12.429216196844383,False,False,True,False,False,True,False
N,250000,F,70.0,P,75000.0,1.39831,Y,11.225243392518447,12.429216196844383,False,False,True,False,False,False,False
N,250000,M,29.0,S,75000.0,0.09897,U,11.225243392518447,12.429216196844383,True,False,True,False,False,False,True
N,250000,F,50.0,P,35000.0,-1.29617,N,10.46310334047155,12.429216196844383,False,False,True,False,False,False,False
N,250000,M,42.0,PS,75000.0,1.45861,Y,11.225243392518447,12.429216196844383,True,False,True,False,False,True,False
N,250000,M,33.0,S,7500.0,-1.29617,N,8.922658299524402,12.429216196844383,True,False,True,False,False,False,True
N,250000,M,52.0,P,35000.0,-1.03168,N,10.46310334047155,12.429216196844383,True,False,True,False,False,False,False
N,250000,F,55.0,S,15000.0,-1.29617,N,9.615805480084347,12.429216196844383,False,False,True,False,False,False,True
N,250000,F,50.0,P,35000.0,0.6853,Y,10.46310334047155,12.429216196844383,False,False,True,False,False,False,False
N,250000,F,24.0,P,7500.0,-1.2202,N,8.922658299524402,12.429216196844383,False,False,True,False,False,False,False
N,250000,F,26.0,PS,35000.0,-1.29617,N,10.46310334047155,12.429216196844383,False,False,True,False,False,True,False
N,250000,M,23.0,PS,35000.0,-1.01268,N,10.46310334047155,12.429216196844383,True,False,True,False,False,True,False
N,250000,F,55.0,S,35000.0,-0.38049,N,10.46310334047155,12.429216196844383,False,False,True,False,False,False,True
N,250000,F,37.0,S,35000.0,-0.46709,U,10.46310334047155,12.429216196844383,False,False,True,False,False,False,True
N,250000,M,38.0,PS,15000.0,-0.88584,N,9.615805480084347,12.429216196844383,True,False,True,False,False,True,False
N,250000,M,18.0,PS,75000.0,-1.21974,N,11.225243392518447,12.429216196844383,True,False,True,False,False,True,False
N,250000,M,36.0,S,35000.0,-0.40254,N,10.46310334047155,12.429216196844383,True,False,True,False,False,False,True
N,250000,F,36.0,S,7500.0,1.40604,Y,8.922658299524402,12.429216196844383,False,False,True,False,False,False,True
N,250000,F,65.0,PS,125000.0,-0.9981,N,11.736069016284437,12.429216196844383,False,False,True,False,False,True,False
N,250000,F,26.0,PS,75000.0,1.48284,Y,11.225243392518447,12.429216196844383,False,False,True,False,False,True,False
N,250000,F,55.0,S,75000.0,1.44104,Y,11.225243392518447,12.429216196844383,False,False,True,False,False,False,True
N,250000,F,59.0,S,35000.0,1.5877,Y,10.46310334047155,12.429216196844383,False,False,True,False,False,False,True
N,250000,M,18.0,S,15000.0,-0.70887,A,9.615805480084347,12.429216196844383,True,False,True,False,False,False,True
N,250000,M,70.0,P,7500.0,-0.36585,N,8.922658299524402,12.429216196844383,True,False,True,False,False,False,False
N,250000,F,24.0,PS,35000.0,1.27926,Y,10.46310334047155,12.429216196844383,False,False,True,False,False,True,False
N,250000,F,26.0,PS,75000.0,-1.10017,N,11.225243392518447,12.429216196844383,False,False,True,False,False,True,False
N,250000,F,44.0,PS,75000.0,1.44183,Y,11.225243392518447,12.429216196844383,False,False,True,False,False,True,False
N,250000,M,53.0,S,15000.0,-1.29617,N,9.615805480084347,12.429216196844383,True,False,True,False,False,False,True
N,250000,M,35.0,PS,125000.0,-0.72892,N,11.736069016284437,12.429216196844383,True,False,True,False,False,True,False
N,250000,F,26.0,PS,125000.0,1.4162,Y,11.736069016284437,12.429216196844383,False,False,True,False,False,True,False
N,250000,M,37.0,P,15000.0,0.41711,N,9.615805480084347,12.429216196844383,True,False,True,False,False,False,False
N,250000,F,70.0,PS,125000.0,1.44896,Y,11.736069016284437,12.429216196844383,False,False,True,False,False,True,False
N,250000,M,23.0,PS,35000.0,-1.25795,N,10.46310334047155,12.429216196844383,True,False,True,False,False,True,False
N,250000,F,18.0,S,35000.0,1.50986,Y,10.46310334047155,12.429216196844383,False,False,True,False,False,False,True
N,87500,M,41.0,PS,35000.0,-0.47135,A,10.46310334047155,11.379394072345706,True,False,True,False,False,True,False
N,87500,F,30.0,P,15000.0,1.60783,Y,9.615805480084347,11.379394072345706,False,False,True,False,False,False,False
N,87500,F,46.0,P,7500.0,1.51786,Y,8.922658299524402,11.379394072345706,False,False,True,False,False,False,False
N,87500,M,22.0,P,15000.0,-0.51949,N,9.615805480084347,11.379394072345706,True,False,True,False,False,False,False
N,87500,F,26.0,S,15000.0,-0.34236,A,9.615805480084347,11.379394072345706,False,False,True,False,False,False,True
N,87500,F,42.0,P,15000.0,1.54808,Y,9.615805480084347,11.379394072345706,False,False,True,False,False,False,False
N,87500,F,25.0,S,15000.0,1.37129,Y,9.615805480084347,11.379394072345706,False,False,True,False,False,False,True
N,87500,M,42.0,P,15000.0,1.5877,Y,9.615805480084347,11.379394072345706,True,False,True,False,False,False,False
N,87500,M,32.0,PS,75000.0,1.36312,Y,11.225243392518447,11.379394072345706,True,False,True,False,False,True,False
N,87500,F,51.0,P,2500.0,1.59607,Y,7.824046010856292,11.379394072345706,False,False,True,False,False,False,False
N,87500,M,18.0,S,15000.0,-1.10367,N,9.615805480084347,11.379394072345706,True,False,True,False,False,False,True
N,87500,F,44.0,PS,35000.0,-0.71653,N,10.46310334047155,11.379394072345706,False,False,True,False,False,True,False
N,87500,M,40.0,S,15000.0,-1.03937,N,9.615805480084347,11.379394072345706,True,False,True,False,False,False,True
N,87500,F,33.0,S,2500.0,-1.14317,N,7.824046010856292,11.379394072345706,False,False,True,False,False,False,True
N,87500,F,21.0,S,35000.0,0.54901,Y,10.46310334047155,11.379394072345706,False,False,True,False,False,False,True
N,87500,F,28.0,P,15000.0,1.19006,U,9.615805480084347,11.379394072345706,False,False,True,False,False,False,False
N,87500,F,37.0,S,7500.0,-0.6617,N,8.922658299524402,11.379394072345706,False,False,True,False,False,False,True
N,87500,F,58.0,P,7500.0,1.4527,Y,8.922658299524402,11.379394072345706,False,False,True,False,False,False,False
N,87500,M,37.0,S,75000.0,1.40361,Y,11.225243392518447,11.379394072345706,True,False,True,False,False,False,True
N,87500,M,18.0,P,35000.0,-0.12713,Y,10.46310334047155,11.379394072345706,True,False,True,False,False,False,False
N,45000,F,33.0,S,35000.0,0.9475,Y,10.46310334047155,10.714417768752456,False,False,True,False,False,False,True
N,45000,F,45.0,P,15000.0,0.83473,U,9.615805480084347,10.714417768752456,False,False,True,False,False,False,False
N,45000,F,34.0,S,15000.0,1.43653,Y,9.615805480084347,10.714417768752456,False,False,True,False,False,False,True
N,45000,M,25.0,PS,35000.0,0.32764,Y,10.46310334047155,10.714417768752456,True,False,True,False,False,True,False
N,45000,M,46.0,P,35000.0,1.56214,U,10.46310334047155,10.714417768752456,True,False,True,False,False,False,False
N,45000,F,63.0,P,7500.0,-0.78362,U,8.922658299524402,10.714417768752456,False,False,True,False,False,False,False
N,45000,F,53.0,P,15000.0,0.9948,Y,9.615805480084347,10.714417768752456,False,False,True,False,False,False,False
N,45000,M,32.0,S,35000.0,-0.16227,A,10.46310334047155,10.714417768752456,True,False,True,False,False,False,True
N,45000,F,31.0,PS,35000.0,0.98196,Y,10.46310334047155,10.714417768752456,False,False,True,False,False,True,False
N,45000,M,23.0,P,15000.0,0.37411,Y,9.615805480084347,10.714417768752456,True,False,True,False,False,False,False
N,45000,F,25.0,P,15000.0,1.33395,Y,9.615805480084347,10.714417768752456,False,False,True,False,False,False,False
N,45000,F,39.0,PS,15000.0,-0.59827,N,9.615805480084347,10.714417768752456,False,False,True,False,False,True,False
N,45000,F,25.0,P,15000.0,0.43403,Y,9.615805480084347,10.714417768752456,False,False,True,False,False,False,False
N,45000,M,48.0,P,7500.0,1.62138,Y,8.922658299524402,10.714417768752456,True,False,True,False,False,False,False
N,45000,M,65.0,S,2500.0,1.39445,A,7.824046010856292,10.714417768752456,True,False,True,False,False,False,True
N,45000,F,25.0,P,15000.0,1.5877,Y,9.615805480084347,10.714417768752456,False,False,True,False,False,False,False
N,45000,M,18.0,S,15000.0,1.4156,Y,9.615805480084347,10.714417768752456,True,False,True,False,False,False,True
N,45000,F,66.0,P,2500.0,-1.29617,N,7.824046010856292,10.714417768752456,False,False,True,False,False,False,False
N,3750,M,60.0,P,75000.0,-0.38693,N,11.225243392518447,8.229511118964457,True,False,True,False,False,False,False
N,3750,M,37.0,PS,35000.0,-0.58756,N,10.46310334047155,8.229511118964457,True,False,True,False,False,True,False
N,3750,F,61.0,S,15000.0,1.44401,U,9.615805480084347,8.229511118964457,False,False,True,False,False,False,True
N,3750,F,34.0,S,35000.0,0.02178,N,10.46310334047155,8.229511118964457,False,False,True,False,False,False,True
N,3750,M,28.0,S,15000.0,-0.66899,N,9.615805480084347,8.229511118964457,True,False,True,False,False,False,True
N,3750,M,59.0,P,35000.0,1.19563,Y,10.46310334047155,8.229511118964457,True,False,True,False,False,False,False
N,3750,M,21.0,P,15000.0,-0.04558,N,9.615805480084347,8.229511118964457,True,False,True,False,False,False,False
N,3750,F,27.0,S,2500.0,0.65137,Y,7.824046010856292,8.229511118964457,False,False,True,False,False,False,True
N,3750,M,24.0,S,15000.0,-0.95939,N,9.615805480084347,8.229511118964457,True,False,True,False,False,False,True
N,3750,M,59.0,P,7500.0,1.41416,Y,8.922658299524402,8.229511118964457,True,False,True,False,False,False,False
N,3750,F,48.0,P,7500.0,1.21125,Y,8.922658299524402,8.229511118964457,False,False,True,False,False,False,False
N,3750,F,26.0,P,2500.0,1.50986,Y,7.824046010856292,8.229511118964457,False,False,True,False,False,False,False
N,3750,M,64.0,P,7500.0,0.98716,Y,8.922658299524402,8.229511118964457,True,False,True,False,False,False,False
N,3750,M,20.0,P,15000.0,1.05745,Y,9.615805480084347,8.229511118964457,True,False,True,False,False,False,False
N,3750,M,25.0,S,15000.0,0.34737,Y,9.615805480084347,8.229511118964457,True,False,True,False,False,False,True
N,3750,F,49.0,P,7500.0,0.15444,Y,8.922658299524402,8.229511118964457,False,False,True,False,False,False,False
N,3750,M,70.0,P,35000.0,-1.10356,N,10.46310334047155,8.229511118964457,True,False,True,False,False,False,False
N,3750,F,22.0,S,15000.0,1.05653,Y,9.615805480084347,8.229511118964457,False,False,True,False,False,False,True
N,3750,M,18.0,P,15000.0,0.0224,Y,9.615805480084347,8.229511118964457,True,False,True,False,False,False,False
N,125000,F,58.0,PS,35000.0,-0.82454,U,10.46310334047155,11.736069016284437,False,False,True,False,False,True,False
N,125000,M,31.0,S,35000.0,-0.91124,Y,10.46310334047155,11.736069016284437,True,False,True,False,False,False,True
N,125000,F,48.0,PS,35000.0,-0.82983,Y,10.46310334047155,11.736069016284437,False,False,True,False,False,True,False
N,125000,M,64.0,P,15000.0,1.33246,U,9.615805480084347,11.736069016284437,True,False,True,False,False,False,False
N,125000,F,23.0,S,15000.0,1.44853,Y,9.615805480084347,11.736069016284437,False,False,True,False,False,False,True
N,125000,F,59.0,P,7500.0,0.1502,U,8.922658299524402,11.736069016284437,False,False,True,False,False,False,False
N,125000,F,37.0,S,15000.0,-0.64763,U,9.615805480084347,11.736069016284437,False,False,True,False,False,False,True
N,125000,F,28.0,S,35000.0,-1.07837,N,10.46310334047155,11.736069016284437,False,False,True,False,False,False,True
N,125000,F,51.0,S,7500.0,-0.78943,U,8.922658299524402,11.736069016284437,False,False,True,False,False,False,True
N,125000,F,27.0,S,7500.0,0.29045,Y,8.922658299524402,11.736069016284437,False,False,True,False,False,False,True
N,125000,M,38.0,S,15000.0,-0.89647,N,9.615805480084347,11.736069016284437,True,False,True,False,False,False,True
N,125000,M,34.0,PS,35000.0,-1.29617,N,10.46310334047155,11.736069016284437,True,False,True,False,False,True,False
N,125000,F,46.0,P,2500.0,-1.29617,N,7.824046010856292,11.736069016284437,False,False,True,False,False,False,False
N,125000,M,25.0,S,7500.0,-0.92377,N,8.922658299524402,11.736069016284437,True,False,True,False,False,False,True
N,125000,M,29.0,S,75000.0,-0.6018,Y,11.225243392518447,11.736069016284437,True,False,True,False,False,False,True
N,125000,F,26.0,P,15000.0,1.3646,A,9.615805480084347,11.736069016284437,False,False,True,False,False,False,False
N,125000,F,34.0,P,7500.0,0.57019,Y,8.922658299524402,11.736069016284437,False,False,True,False,False,False,False
N,125000,M,66.0,P,7500.0,-0.18511,Y,8.922658299524402,11.736069016284437,True,False,True,False,False,False,False
N,125000,F,44.0,P,35000.0,1.51576,Y,10.46310334047155,11.736069016284437,False,False,True,False,False,False,False
N,125000,M,38.0,S,7500.0,0.07104,A,8.922658299524402,11.736069016284437,True,False,True,False,False,False,True
N,125000,M,39.0,S,7500.0,0.75719,Y,8.922658299524402,11.736069016284437,True,False,True,False,False,False,True
N,125000,F,22.0,S,15000.0,-1.07861,N,9.615805480084347,11.736069016284437,False,False,True,False,False,False,True
N,125000,F,47.0,P,15000.0,1.43653,Y,9.615805480084347,11.736069016284437,False,False,True,False,False,False,False
N,125000,M,24.0,S,35000.0,0.00883,Y,10.46310334047155,11.736069016284437,True,False,True,False,False,False,True
N,125000,M,27.0,S,35000.0,1.34829,Y,10.46310334047155,11.736069016284437,True,False,True,False,False,False,True
N,125000,F,21.0,S,75000.0,-1.15231,N,11.225243392518447,11.736069016284437,False,False,True,False,False,False,True
N,125000,M,36.0,PS,75000.0,1.01364,Y,11.225243392518447,11.736069016284437,True,False,True,False,False,True,False
N,125000,F,62.0,P,15000.0,0.23772,Y,9.615805480084347,11.736069016284437,False,False,True,False,False,False,False
N,125000,F,70.0,P,15000.0,1.25145,Y,9.615805480084347,11.736069016284437,False,False,True,False,False,False,False
N,125000,F,49.0,P,35000.0,0.61995,U,10.46310334047155,11.736069016284437,False,False,True,False,False,False,False
N,125000,M,33.0,S,35000.0,0.12409,A,10.46310334047155,11.736069016284437,True,False,True,False,False,False,True
N,125000,F,35.0,P,15000.0,-1.19054,N,9.615805480084347,11.736069016284437,False,False,True,False,False,False,False
N,125000,F,29.0,P,15000.0,1.23505,Y,9.615805480084347,11.736069016284437,False,False,True,False,False,False,False
N,125000,F,38.0,P,15000.0,1.24225,Y,9.615805480084347,11.736069016284437,False,False,True,False,False,False,False
N,125000,M,21.0,S,35000.0,-0.56293,N,10.46310334047155,11.736069016284437,True,False,True,False,False,False,True
N,125000,F,59.0,PS,35000.0,-1.18011,N,10.46310334047155,11.736069016284437,False,False,True,False,False,True,False
N,125000,M,59.0,P,15000.0,1.37738,Y,9.615805480084347,11.736069016284437,True,False,True,False,False,False,False
N,15000,M,63.0,P,7500.0,0.57069,A,8.922658299524402,9.615805480084347,True,False,True,False,False,False,False
